25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,NaN
25649985,0,0,Inf
25649984,1,0,2.1
25649981,3,1,-0.9
25649981,0,4,Inf
25649980,1,4,-0.9
25649980,0,5,Inf
25649978,2,5,0.1
25649976,2,7,-0.9
25649976,0,9,Inf
25649973,3,9,-0.9
25649973,0,12,NaN
25649973,0,12,Inf
25649972,1,12,0.1
25649971,1,13,0.1
25649970,1,14,-0.9
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,NaN
25649970,0,15,Inf
25649964,6,15,-0.733333333
25649963,1,21,-0.9
25649963,0,22,NaN
25649963,0,22,Inf
25649962,1,22,-0.9
25649962,0,23,NaN
25649962,0,23,Inf
25649960,2,23,-0.9
25649960,0,25,Inf
25649956,4,25,-0.9
25649956,0,29,Inf
25649952,4,29,1.6
25649942,10,33,0.5
25649928,14,43,-0.471428571
25649922,6,57,0.266666667
25649915,7,63,0.1
25649908,7,70,1.242857143
25649893,15,77,-0.366666667
25649885,8,92,1.85
25649863,22,100,-0.081818182
25649845,18,122,2.266666667
25649788,57,140,0.012280702
25649736,52,197,0.042307692
25649687,49,249,-0.124489796
25649649,38,298,1.152631579
25649571,78,336,1.035897436
25649420,151,414,-0.065562914
25649294,126,565,0.544444444
25649112,182,691,0.242857143
25648904,208,873,0.614423077
25648589,315,1081,0.093650794
25648276,313,1396,0.834824281
25647733,543,1709,-0.585082873
25647562,171,2252,2.386549708
25647000,562,2423,-0.200711744
25646607,393,2985,0.196692112
25646176,431,3378,-0.241067285
25645892,284,3809,0.036619718
25645626,266,4093,0.408270677
25645278,348,4359,-0.127011494
25645009,269,4707,0.021933086
25644761,248,4976,0.027419355
25644531,230,5224,-0.113043478
25644350,181,5454,-0.297790055
25644241,109,5635,0.017431193
25644141,100,5744,0.22
25644029,112,5844,-0.042857143
25643933,96,5956,0.141666667
25643833,100,6052,-0.04
25643747,86,6152,-0.306976744
25643696,51,6238,-0.252941176
25643663,33,6289,0.433333333
25643619,44,6322,0.236363636
25643569,50,6366,-0.06
25643527,42,6416,-0.661904762
25643517,10,6458,5.6
25643452,65,6468,-0.084615385
25643399,53,6533,-0.409433962
25643373,26,6586,-0.4
25643360,13,6612,0.792307692
25643338,22,6625,-0.581818182
25643331,7,6647,0.957142857
25643318,13,6654,0.638461538
25643298,20,6667,-0.1
25643282,16,6687,-0.275
25643272,10,6703,0.3
25643260,12,6713,0.183333333
25643247,13,6725,-0.284615385
25643239,8,6738,1.1
25643223,16,6746,-0.5875
25643218,5,6762,2.3
25643202,16,6767,0.225
25643184,18,6783,0.433333333
25643160,24,6801,0.1
25643136,24,6825,0.183333333
25643110,26,6849,-0.092307692
25643089,21,6875,-0.042857143
25643071,18,6896,-0.066666667
25643056,15,6914,-0.1
25643044,12,6929,-0.316666667
25643037,7,6941,1.385714286
25643021,16,6948,-0.2125
25643010,11,6964,0.372727273
25642996,14,6975,1.242857143
25642966,30,6989,-0.333333333
25642949,17,7019,-0.370588235
25642940,9,7036,0.766666667
25642925,15,7045,-0.366666667
25642917,8,7060,0.475
25642906,11,7068,-0.718181818
25642904,2,7079,6.1
25642890,14,7081,-0.114285714
25642879,11,7095,-0.627272727
25642876,3,7106,2.1
25642867,9,7109,0.766666667
25642852,15,7118,-0.5
25642846,6,7133,0.933333333
25642835,11,7139,1.190909091
25642812,23,7150,-0.37826087
25642800,12,7173,-0.066666667
25642790,10,7185,0
25642781,9,7195,0.988888889
25642764,17,7204,-0.429411765
25642756,8,7221,0.475
25642745,11,7229,0.1
25642734,11,7240,-0.536363636
25642730,4,7251,0.35
25642725,5,7255,0.1
25642720,5,7260,-0.5
25642718,2,7265,-0.9
